Time	I_src_A	I_src_B	I_src_C
4.05485  	5.58951	-0.384289	-0.339056
4.0549  	5.86406	-0.378819	-0.345625
4.05495  	6.13715	-0.373251	-0.352106
4.055  	6.40872	-0.367586	-0.358495
4.05505  	6.67869	-0.361842	-0.364807
4.0551  	6.94702	-0.355996	-0.371015
4.05515  	7.21361	-0.350071	-0.377143
4.0552  	7.47841	-0.344057	-0.383174
4.05525  	7.74138	-0.337954	-0.389105
4.0553  	8.0024	-0.331778	-0.394952
4.05535  	8.26146	-0.325507	-0.400688
4.0554  	8.51846	-0.319166	-0.406335
4.05545  	8.77335	-0.312743	-0.411879
4.0555  	9.02607	-0.306237	-0.417316
4.05555  	9.27655	-0.299668	-0.422661
4.0556  	9.52474	-0.293011	-0.427889
4.05565  	9.77056	-0.286292	-0.433021
4.0557  	10.014	-0.279499	-0.438044
4.05575  	10.2549	-0.272632	-0.442953
4.0558  	10.4933	-0.26571	-0.447765
4.05585  	10.7291	-0.258709	-0.452453
4.0559  	10.9622	-0.251653	-0.457038
4.05595  	11.1926	-0.244533	-0.461509
4.056  	11.4203	-0.237347	-0.46586
4.05605  	11.6451	-0.230113	-0.470107
4.0561  	11.8671	-0.222811	-0.474226
4.05615  	12.0861	-0.215462	-0.478237
4.0562  	12.3021	-0.208059	-0.482128
4.05625  	12.5151	-0.200597	-0.485894
4.0563  	12.7249	-0.193098	-0.489552
4.05635  	12.9317	-0.185539	-0.493076
4.0564  	13.1352	-0.177943	-0.496487
4.05645  	13.3355	-0.170301	-0.499775
4.0565  	13.5325	-0.162611	-0.502932
4.05655  	13.7261	-0.154893	-0.505977
4.0566  	13.9163	-0.147124	-0.508886
4.05665  	14.1031	-0.139326	-0.511676
4.0567  	14.2865	-0.131494	-0.51434
4.05675  	14.4662	-0.123623	-0.51687
4.0568  	14.6424	-0.115732	-0.519284
4.05685  	14.815	-0.107801	-0.521558
4.0569  	14.9839	-0.0998509	-0.52371
4.05695  	15.1492	-0.0918761	-0.525734
4.057  	15.3106	-0.0838714	-0.52762
4.05705  	15.4683	-0.0758574	-0.529388
4.0571  	15.6222	-0.0678136	-0.531014
4.05715  	15.7722	-0.0597596	-0.532516
4.0572  	15.9183	-0.0516914	-0.533886
4.05725  	16.0604	-0.043603	-0.535118
4.0573  	16.1986	-0.0355152	-0.536229
4.05735  	16.3328	-0.0274078	-0.537196
